root,locus,actual_axis,predicted_axis,correct
kR,THROAT,EXP,EXP,True
kram,THROAT,EXP,MOT,False
krand,THROAT,EXP,EXP,True
kRp,THROAT,EXP,EXP,True
kruS,THROAT,EXP,SEP,False
klp,THROAT,EXP,EXP,True
kSip,THROAT,MOT,SEP,False
kath,THROAT,EXP,EXP,True
kuj,THROAT,EXP,EXP,True
kan,THROAT,EXP,MOT,False
kAz,THROAT,EXP,MOT,False
kIrt,THROAT,EXP,SEP,False
kup,THROAT,EXP,EXP,True
kSar,THROAT,MOT,MOT,True
gai,THROAT,EXP,SEP,False
gam,THROAT,MOT,MOT,True
garj,THROAT,EXP,EXP,True
gRh,THROAT,CNT,SEP,False
guh,THROAT,CNT,SEP,False
han,THROAT,EXP,MOT,False
hR,THROAT,EXP,SEP,False
hu,THROAT,EXP,SEP,False
hve,THROAT,EXP,MOT,False
kI,THROAT,EXP,EXP,True
kep,THROAT,MOT,EXP,False
gup,THROAT,CNT,EXP,False
kzip,THROAT,MOT,SEP,False
krand,THROAT,EXP,EXP,True
hims,THROAT,SEP,SEP,True
kLp,THROAT,EXP,EXP,True
ci,PALATE,SEP,EXP,False
cit,PALATE,SEP,SEP,True
cint,PALATE,SEP,SEP,True
cur,PALATE,TRN,SEP,False
cud,PALATE,TRN,EXP,False
jan,PALATE,EXP,MOT,False
jap,PALATE,EXP,EXP,True
jalp,PALATE,EXP,EXP,True
ji,PALATE,EXP,EXP,True
jval,PALATE,EXP,EXP,True
jash,PALATE,TRN,SEP,False
yaj,PALATE,EXP,EXP,True
yam,PALATE,CNT,MOT,False
yu,PALATE,SEP,SEP,True
yuj,PALATE,CNT,SEP,False
car,PALATE,MOT,MOT,True
chad,PALATE,CNT,EXP,False
chid,PALATE,SEP,SEP,True
ji,PALATE,EXP,EXP,True
jIv,PALATE,MOT,SEP,False
jak,PALATE,MOT,EXP,False
jan,PALATE,EXP,MOT,False
cup,PALATE,MOT,EXP,False
cal,PALATE,MOT,MOT,True
cR,PALATE,TRN,EXP,False
jAgR,PALATE,EXP,EXP,True
yA,PALATE,MOT,MOT,True
yuddh,PALATE,EXP,SEP,False
cay,PALATE,CNT,MOT,False
cakAs,PALATE,EXP,EXP,True
rA,CEREBRAL,CNT,MOT,False
raj,CEREBRAL,EXP,MOT,False
ram,CEREBRAL,MOT,MOT,True
ras,CEREBRAL,EXP,MOT,False
ruh,CEREBRAL,MOT,SEP,False
rudh,CEREBRAL,CNT,SEP,False
rud,CEREBRAL,EXP,SEP,False
ri,CEREBRAL,MOT,SEP,False
ric,CEREBRAL,MOT,SEP,False
rip,CEREBRAL,SEP,SEP,True
ruj,CEREBRAL,SEP,SEP,True
lA,CEREBRAL,SEP,MOT,False
lag,CEREBRAL,MOT,MOT,True
lamb,CEREBRAL,MOT,MOT,True
laz,CEREBRAL,EXP,MOT,False
lup,CEREBRAL,SEP,SEP,True
luth,CEREBRAL,MOT,SEP,False
lI,CEREBRAL,MOT,SEP,False
lok,CEREBRAL,SEP,SEP,True
lup,CEREBRAL,SEP,SEP,True
rAj,CEREBRAL,EXP,MOT,False
rambh,CEREBRAL,EXP,MOT,False
lip,CEREBRAL,CNT,SEP,False
lubh,CEREBRAL,MOT,SEP,False
lih,CEREBRAL,MOT,MOT,True
ruc,CEREBRAL,EXP,SEP,False
rI,CEREBRAL,MOT,SEP,False
rak,CEREBRAL,CNT,MOT,False
randh,CEREBRAL,SEP,EXP,False
rAd,CEREBRAL,EXP,MOT,False
tap,DENTAL,EXP,EXP,True
tAy,DENTAL,MOT,MOT,True
tij,DENTAL,SEP,SEP,True
tul,DENTAL,SEP,SEP,True
tud,DENTAL,SEP,EXP,False
tan,DENTAL,MOT,MOT,True
tRp,DENTAL,CNT,EXP,False
dah,DENTAL,EXP,MOT,False
dA,DENTAL,SEP,EXP,False
diz,DENTAL,SEP,SEP,True
dIp,DENTAL,EXP,EXP,True
drA,DENTAL,MOT,MOT,True
dru,DENTAL,MOT,SEP,False
dhA,DENTAL,CNT,EXP,False
dhAv,DENTAL,MOT,MOT,True
san,DENTAL,EXP,MOT,False
sah,DENTAL,CNT,MOT,False
sic,DENTAL,SEP,SEP,True
sidh,DENTAL,SEP,SEP,True
sRp,DENTAL,MOT,EXP,False
svap,DENTAL,MOT,MOT,True
sRj,DENTAL,EXP,SEP,False
stR,DENTAL,SEP,SEP,True
skand,DENTAL,MOT,EXP,False
syand,DENTAL,MOT,EXP,False
tvar,DENTAL,MOT,MOT,True
tyaj,DENTAL,SEP,EXP,False
trik,DENTAL,SEP,SEP,True
dus,DENTAL,SEP,SEP,True
daMz,DENTAL,SEP,EXP,False
pA,LABIAL,CNT,EXP,False
pac,LABIAL,TRN,EXP,False
pat,LABIAL,MOT,EXP,False
pad,LABIAL,MOT,EXP,False
pAl,LABIAL,CNT,MOT,False
piS,LABIAL,SEP,SEP,True
pI,LABIAL,CNT,EXP,False
pu,LABIAL,TRN,EXP,False
pus,LABIAL,EXP,SEP,False
pRR,LABIAL,CNT,SEP,False
bandh,LABIAL,CNT,EXP,False
bhaj,LABIAL,CNT,EXP,False
bhA,LABIAL,EXP,EXP,True
bhid,LABIAL,SEP,SEP,True
bhuj,LABIAL,CNT,EXP,False
bhU,LABIAL,EXP,EXP,True
vac,LABIAL,EXP,MOT,False
vah,LABIAL,MOT,MOT,True
vA,LABIAL,MOT,MOT,True
vaz,LABIAL,CNT,MOT,False
vid,LABIAL,SEP,SEP,True
viz,LABIAL,MOT,SEP,False
vR,LABIAL,CNT,SEP,False
vRt,LABIAL,CNT,SEP,False
vyath,LABIAL,MOT,EXP,False
phan,LABIAL,MOT,MOT,True
bhr,LABIAL,CNT,EXP,False
bhaS,LABIAL,EXP,SEP,False
pRc,LABIAL,CNT,EXP,False
plav,LABIAL,MOT,MOT,True
